timestamp,station,direction,latency_ms,http_code,request_num
2025-09-25T14:30:51.839Z,629,S,31,200,3
2025-09-25T14:30:51.839Z,629,S,35,200,4
2025-09-25T14:30:51.839Z,629,S,37,200,5
2025-09-25T14:30:51.839Z,629,S,38,200,6
2025-09-25T14:30:51.839Z,629,S,38,200,7
2025-09-25T14:30:51.839Z,629,S,39,200,8
2025-09-25T14:30:51.839Z,629,S,43,200,9
2025-09-25T14:30:51.839Z,629,S,44,200,10
2025-09-25T14:30:51.839Z,629,S,45,200,11
2025-09-25T14:30:51.839Z,629,S,46,200,12
2025-09-25T14:30:51.839Z,629,S,46,200,13
2025-09-25T14:30:51.839Z,629,S,55,200,14
2025-09-25T14:30:51.839Z,629,S,85,200,15
2025-09-25T14:30:51.839Z,629,S,92,200,16
2025-09-25T14:30:51.839Z,629,S,112,200,17
2025-09-25T14:30:51.839Z,629,S,120,200,18
2025-09-25T14:30:51.839Z,629,S,135,200,19
2025-09-25T14:30:51.839Z,629,S,137,200,20
2025-09-25T14:30:51.839Z,R16,N,20,200,1
2025-09-25T14:30:51.839Z,R16,N,24,200,2
2025-09-25T14:30:51.839Z,R16,N,34,200,3
2025-09-25T14:30:51.839Z,R16,N,36,200,4
2025-09-25T14:30:51.839Z,R16,N,40,200,5
2025-09-25T14:30:51.839Z,R16,N,42,200,6
2025-09-25T14:30:51.839Z,R16,N,44,200,7
2025-09-25T14:30:51.839Z,R16,N,46,200,8
2025-09-25T14:30:51.839Z,R16,N,46,200,9
2025-09-25T14:30:51.839Z,R16,N,46,200,10
2025-09-25T14:30:51.839Z,R16,N,47,200,11
2025-09-25T14:30:51.839Z,R16,N,48,200,12
2025-09-25T14:30:51.839Z,R16,N,48,200,13
2025-09-25T14:30:51.839Z,R16,N,52,200,14
2025-09-25T14:30:51.839Z,R16,N,56,200,15
2025-09-25T14:30:51.839Z,R16,N,56,200,16
2025-09-25T14:30:51.839Z,R16,N,65,200,17
2025-09-25T14:30:51.839Z,R16,N,98,200,18
2025-09-25T14:30:51.839Z,R16,N,103,200,19
2025-09-25T14:30:51.839Z,R16,N,134,200,20
2025-09-25T14:30:51.839Z,D14,S,26,200,1
2025-09-25T14:30:51.839Z,D14,S,26,200,2
2025-09-25T14:30:51.839Z,D14,S,30,200,3
2025-09-25T14:30:51.839Z,D14,S,40,200,4
2025-09-25T14:30:51.839Z,D14,S,41,200,5
2025-09-25T14:30:51.839Z,D14,S,42,200,6
2025-09-25T14:30:51.839Z,D14,S,42,200,7
2025-09-25T14:30:51.839Z,D14,S,44,200,8
2025-09-25T14:30:51.839Z,D14,S,45,200,9
2025-09-25T14:30:51.839Z,D14,S,46,200,10
2025-09-25T14:30:51.839Z,D14,S,50,200,11
2025-09-25T14:30:51.839Z,D14,S,56,200,12
2025-09-25T14:30:51.839Z,D14,S,60,200,13
2025-09-25T14:30:51.839Z,D14,S,65,200,14
2025-09-25T14:30:51.839Z,D14,S,70,200,15
2025-09-25T14:30:51.839Z,D14,S,76,200,16
2025-09-25T14:30:51.839Z,D14,S,77,200,17
2025-09-25T14:30:51.839Z,D14,S,78,200,18
2025-09-25T14:30:51.839Z,D14,S,106,200,19
2025-09-25T14:30:51.839Z,D14,S,110,200,20
2025-09-25T14:30:51.839Z,A32,N,24,200,1
2025-09-25T14:30:51.839Z,A32,N,27,200,2
2025-09-25T14:30:51.839Z,A32,N,33,200,3
2025-09-25T14:30:51.839Z,A32,N,37,200,4
2025-09-25T14:30:51.839Z,A32,N,38,200,5
2025-09-25T14:30:51.839Z,A32,N,43,200,6
2025-09-25T14:30:51.839Z,A32,N,44,200,7
2025-09-25T14:30:51.839Z,A32,N,44,200,8
2025-09-25T14:30:51.839Z,A32,N,46,200,9
2025-09-25T14:30:51.839Z,A32,N,47,200,10
2025-09-25T14:30:51.839Z,A32,N,49,200,11
2025-09-25T14:30:51.839Z,A32,N,53,200,12
2025-09-25T14:30:51.839Z,A32,N,59,200,13
2025-09-25T14:30:51.839Z,A32,N,64,200,14
2025-09-25T14:30:51.839Z,A32,N,74,200,15
2025-09-25T14:30:51.839Z,A32,N,101,200,16
2025-09-25T14:30:51.839Z,A32,N,101,200,17
2025-09-25T14:30:51.839Z,A32,N,109,200,18
2025-09-25T14:30:51.839Z,A32,N,111,200,19
2025-09-25T14:30:51.839Z,A32,N,144,200,20
2025-09-25T14:30:51.839Z,L14,S,23,200,1
2025-09-25T14:30:51.839Z,L14,S,24,200,2
2025-09-25T14:30:51.839Z,L14,S,24,200,3
2025-09-25T14:30:51.839Z,L14,S,27,200,4
2025-09-25T14:30:51.839Z,L14,S,27,200,5
2025-09-25T14:30:51.839Z,L14,S,43,200,6
2025-09-25T14:30:51.839Z,L14,S,45,200,7
2025-09-25T14:30:51.839Z,L14,S,45,200,8
2025-09-25T14:30:51.839Z,L14,S,46,200,9
2025-09-25T14:30:51.839Z,L14,S,46,200,10
2025-09-25T14:30:51.839Z,L14,S,48,200,11
2025-09-25T14:30:51.839Z,L14,S,48,200,12
2025-09-25T14:30:51.839Z,L14,S,50,200,13
2025-09-25T14:30:51.839Z,L14,S,51,200,14
2025-09-25T14:30:51.839Z,L14,S,52,200,15
2025-09-25T14:30:51.839Z,L14,S,56,200,16
2025-09-25T14:30:51.839Z,L14,S,56,200,17
2025-09-25T14:30:51.839Z,L14,S,81,200,18
2025-09-25T14:30:51.839Z,L14,S,93,200,19
2025-09-25T14:30:51.839Z,L14,S,109,200,20
2025-09-25T14:30:51.839Z,G22,N,24,200,1
2025-09-25T14:30:51.839Z,G22,N,40,200,2
2025-09-25T14:30:51.839Z,G22,N,42,200,3
2025-09-25T14:30:51.839Z,G22,N,45,200,4
2025-09-25T14:30:51.839Z,G22,N,45,200,5
2025-09-25T14:30:51.839Z,G22,N,46,200,6
2025-09-25T14:30:51.839Z,G22,N,48,200,7
2025-09-25T14:30:51.839Z,G22,N,50,200,8
2025-09-25T14:30:51.839Z,G22,N,58,200,9
2025-09-25T14:30:51.839Z,G22,N,80,200,10
2025-09-25T14:30:51.839Z,G22,N,86,200,11
2025-09-25T14:30:51.839Z,G22,N,87,200,12
2025-09-25T14:30:51.839Z,G22,N,111,200,13
2025-09-25T14:30:51.839Z,G22,N,120,200,14
2025-09-25T14:30:51.839Z,G22,N,122,200,15
2025-09-25T14:30:51.839Z,G22,N,124,200,16
2025-09-25T14:30:51.839Z,G22,N,126,200,17
2025-09-25T14:30:51.839Z,G22,N,130,200,18
2025-09-25T14:30:51.839Z,G22,N,133,200,19
2025-09-25T14:30:51.839Z,G22,N,141,200,20
2025-09-25T14:30:51.839Z,F18,S,16,200,1
2025-09-25T14:30:51.839Z,F18,S,17,200,2
2025-09-25T14:30:51.839Z,F18,S,26,200,3
2025-09-25T14:30:51.839Z,F18,S,34,200,4
2025-09-25T14:30:51.839Z,F18,S,40,200,5
2025-09-25T14:30:51.839Z,F18,S,45,200,6
2025-09-25T14:30:51.839Z,F18,S,46,200,7
2025-09-25T14:30:51.839Z,F18,S,49,200,8
2025-09-25T14:30:51.839Z,F18,S,50,200,9
2025-09-25T14:30:51.839Z,F18,S,56,200,10
2025-09-25T14:30:51.839Z,F18,S,58,200,11
2025-09-25T14:30:51.839Z,F18,S,62,200,12
2025-09-25T14:30:51.839Z,F18,S,64,200,13
2025-09-25T14:30:51.839Z,F18,S,66,200,14
2025-09-25T14:30:51.839Z,F18,S,79,200,15
2025-09-25T14:30:51.839Z,F18,S,119,200,16
2025-09-25T14:30:51.839Z,F18,S,127,200,17
2025-09-25T14:30:51.839Z,F18,S,130,200,18
2025-09-25T14:30:51.839Z,F18,S,141,200,19
2025-09-25T14:30:51.839Z,F18,S,144,200,20
